ms, kg
272.719, -0.0025
297.116, -0.0025
334.214, -0.0024
346.977, -0.0024
365.940, -0.0024
420.722, -0.0025
450.291, -0.0025
486.191, -0.0025
535.605, -0.0025
594.412, -0.0025
618.804, -0.0024
675.345, -0.0025
681.246, -0.0025
706.459, -0.0025
719.223, -0.0025
731.832, -0.0025
811.339, -0.0025
872.638, -0.0025
902.314, -0.0025
926.719, -0.0025
963.565, -0.0025
992.976, -0.0025
1058.013, -0.0025
1121.014, -0.0025
1158.840, -0.0024
1194.023, -0.0025
1250.685, -0.0024
1306.207, -0.0024
1330.271, -0.0024
1367.250, -0.0024
1411.143, -0.0024
1448.252, -0.0024
1509.247, -0.0024
1538.850, -0.0024
1580.598, -0.0024
1586.070, -0.0025
1645.399, -0.0024
1700.382, -0.0025
1725.558, -0.0025
1767.427, -0.0024
1791.587, -0.0024
1845.481, -0.0025
1875.889, -0.0025
1918.536, -0.0025
1948.814, -0.0025
2003.984, -0.0025
2041.907, -0.0026
2103.969, -0.0026
2147.988, -0.0026
2185.445, -0.0026
2233.881, -0.0026
2283.914, -0.0026
2333.889, -0.0026
2376.763, -0.0026
2408.317, -0.0026
2452.399, -0.0026
2465.059, -0.0026
2502.809, -0.0021
2626.299, 0.0004
2750.106, 0.0013
2883.109, 0.0020
2988.781, 0.0105
3082.354, 0.0309
3245.914, 0.0416
3381.851, 0.0514
3475.721, 0.0632
3597.688, 0.0702
3716.374, 0.0758
3842.605, 0.0885
3964.458, 0.0946
4082.827, 0.0986
4218.947, 0.1037
4322.637, 0.1099
4434.936, 0.1143
4603.042, 0.1233
4673.632, 0.1262
4803.328, 0.1289
4937.504, 0.1346
5048.533, 0.1401
5201.798, 0.1458
5299.371, 0.1549
5460.805, 0.1582
5531.352, 0.1611
5682.208, 0.1719
5780.572, 0.1798
5926.318, 0.1858
6043.713, 0.1888
6159.999, 0.1915
6258.420, 0.1945
6386.472, 0.1990
6523.050, 0.2086
6622.648, 0.2129
6761.034, 0.2168
6883.832, 0.2274
7022.283, 0.2338
7153.166, 0.2406
7285.155, 0.2563
7382.836, 0.2643
7511.751, 0.2721
7611.945, 0.2855
7732.602, 0.2918
7860.844, 0.2947
7977.289, 0.2861
8123.777, 0.2854
8237.586, 0.2848
8340.131, 0.2803
8492.998, 0.2778
8592.521, 0.2767
8736.826, 0.2741
8865.153, 0.2718
8956.231, 0.2694
9100.725, 0.2672
9207.349, 0.2660
9331.613, 0.2637
9489.380, 0.2601
9559.322, 0.2589
9678.670, 0.2577
9796.875, 0.2534
9956.692, 0.2518
10061.828, 0.2506
10203.301, 0.2474
10318.479, 0.2454
10426.844, 0.2436
10542.753, 0.2411
10689.284, 0.2394
10770.354, 0.2376
10916.850, 0.2343
11045.029, 0.2330
11163.891, 0.2315
11306.951, 0.2297
11399.623, 0.2264
11519.542, 0.2250
11645.898, 0.2236
11778.232, 0.2201
11916.351, 0.2186
12020.445, 0.2170
12132.829, 0.2142
12271.156, 0.2125
12373.013, 0.2109
12487.250, 0.2080
12641.324, 0.2065
12759.060, 0.2050
12873.785, 0.2019
13027.376, 0.2005
13156.921, 0.1991
13273.661, 0.1961
13356.361, 0.1946
13458.864, 0.1931
13616.533, 0.1904
13736.842, 0.1889
13844.978, 0.1874
13992.685, 0.1844
14117.788, 0.1830
14209.296, 0.1817
14319.594, 0.1788
14447.497, 0.1773
14609.014, 0.1759
14699.882, 0.1732
14852.759, 0.1718
14944.733, 0.1704
15067.994, 0.1676
15190.944, 0.1663
15310.590, 0.1650
15431.038, 0.1623
15565.600, 0.1609
15675.493, 0.1596
15787.856, 0.1570
15916.215, 0.1557
