ms, kg
304.572, -0.0073
359.708, -0.0073
424.923, -0.0073
456.659, -0.0073
512.121, -0.0073
566.454, -0.0072
602.831, -0.0072
665.410, -0.0072
690.680, -0.0072
727.552, -0.0072
777.484, -0.0072
821.746, -0.0071
857.344, -0.0071
929.894, -0.0071
961.594, -0.0071
986.825, -0.0071
1031.072, -0.0071
1043.861, -0.0070
1107.069, -0.0070
1144.884, -0.0070
1163.849, -0.0070
1219.211, -0.0070
1255.979, -0.0070
1285.217, -0.0069
1315.218, -0.0070
1361.956, -0.0069
1367.875, -0.0069
1417.443, -0.0069
1448.280, -0.0069
1485.063, -0.0069
1547.741, -0.0069
1598.126, -0.0068
1628.142, -0.0068
1683.311, -0.0068
1720.762, -0.0068
1786.299, -0.0068
1817.409, -0.0068
1842.620, -0.0068
1866.642, -0.0068
1908.085, -0.0068
1943.591, -0.0068
1973.416, -0.0068
2014.489, -0.0068
2068.763, -0.0068
2118.730, -0.0068
2148.797, -0.0068
2178.768, -0.0069
2253.307, -0.0069
2302.557, -0.0069
2321.240, -0.0070
2381.718, -0.0069
2429.026, -0.0069
2496.168, -0.0069
2502.095, -0.0065
2657.574, -0.0004
2784.388, 0.0129
2890.568, 0.0331
3006.979, 0.0491
3168.346, 0.0617
3257.068, 0.0880
3379.152, 0.1066
3484.138, 0.1272
3621.784, 0.1767
3742.457, 0.2055
3865.712, 0.2297
4011.996, 0.2848
4142.030, 0.3044
4220.515, 0.3309
4388.403, 0.3854
4504.425, 0.4156
4608.828, 0.4374
4754.626, 0.4470
4833.530, 0.4443
4985.918, 0.4374
5080.109, 0.4351
5194.541, 0.4317
5320.896, 0.4294
5472.881, 0.4260
5573.579, 0.4242
5701.328, 0.4214
5827.164, 0.4162
5953.065, 0.4155
6062.055, 0.4136
6219.570, 0.4079
6308.722, 0.4059
6420.172, 0.4053
6554.774, 0.4035
6700.577, 0.3978
6801.181, 0.3962
6919.375, 0.3951
7041.918, 0.3906
7172.661, 0.3877
7298.718, 0.3863
7410.402, 0.3834
7535.526, 0.3805
7686.862, 0.3779
7773.224, 0.3754
7895.454, 0.3735
8023.684, 0.3706
8135.666, 0.3668
8299.425, 0.3657
8370.996, 0.3636
8486.706, 0.3585
8636.636, 0.3572
8746.000, 0.3559
8929.958, 0.3513
9013.536, 0.3490
9107.072, 0.3477
9240.692, 0.3443
9351.830, 0.3418
9498.172, 0.3397
9614.038, 0.3367
9746.922, 0.3348
9856.178, 0.3324
9960.596, 0.3290
10089.310, 0.3274
10205.507, 0.3256
10343.250, 0.3214
10463.600, 0.3198
10599.622, 0.3183
10742.046, 0.3143
10824.593, 0.3124
10965.755, 0.3107
11071.820, 0.3074
11252.647, 0.3053
11335.195, 0.3035
11427.883, 0.3002
11552.319, 0.2985
11670.181, 0.2966
11811.230, 0.2947
11902.646, 0.2914
12072.096, 0.2897
12190.669, 0.2879
12290.815, 0.2842
12419.820, 0.2826
12578.156, 0.2810
12682.063, 0.2774
12780.546, 0.2757
12916.114, 0.2741
13027.605, 0.2707
13149.789, 0.2690
13254.249, 0.2673
