ms, kg
226.103, -0.0111
289.254, -0.0112
345.926, -0.0111
390.040, -0.0110
413.014, -0.0109
468.245, -0.0109
479.972, -0.0109
515.559, -0.0108
539.321, -0.0108
580.656, -0.0107
622.268, -0.0108
665.553, -0.0109
689.315, -0.0107
713.033, -0.0106
724.829, -0.0108
784.103, -0.0107
807.733, -0.0106
868.619, -0.0107
922.272, -0.0106
959.660, -0.0108
1007.784, -0.0107
1076.727, -0.0105
1133.026, -0.0106
1200.389, -0.0105
1261.357, -0.0108
1296.923, -0.0101
1302.745, -0.0099
1314.586, -0.0102
1376.001, -0.0105
1388.693, -0.0103
1413.164, -0.0102
1486.128, -0.0102
1504.264, -0.0102
1602.452, -0.0101
1626.544, -0.0103
1705.230, -0.0101
1728.427, -0.0100
1782.383, -0.0103
1817.963, -0.0102
1882.482, -0.0103
1935.916, -0.0103
2006.713, -0.0107
2038.311, -0.0108
2086.407, -0.0107
2185.968, -0.0109
2239.186, -0.0110
2309.974, -0.0112
2465.583, -0.0111
2596.014, -0.0112
2698.623, -0.0112
2819.025, -0.0114
2961.055, -0.0113
3053.848, -0.0114
3213.159, -0.0112
3282.786, -0.0092
3410.321, -0.0039
3551.772, 0.0089
3681.655, 0.0171
3796.664, 0.0247
3920.710, 0.0379
4042.300, 0.0487
4212.484, 0.0596
4263.650, 0.0803
4391.897, 0.0946
4562.356, 0.1056
4675.926, 0.1187
4768.213, 0.1267
4892.805, 0.1341
5052.492, 0.1495
5168.397, 0.1573
5261.402, 0.1646
5432.978, 0.1743
5503.978, 0.1824
5620.672, 0.1897
5763.970, 0.2028
5860.442, 0.2085
5994.925, 0.2137
6156.246, 0.2215
6241.826, 0.2248
6370.525, 0.2297
6488.254, 0.2407
6598.006, 0.2440
6737.641, 0.2479
6850.097, 0.2567
6992.191, 0.2619
7131.944, 0.2676
7197.280, 0.2778
7341.233, 0.2849
7463.621, 0.2938
7600.168, 0.3031
7702.190, 0.3248
7827.270, 0.3346
7974.573, 0.3471
8090.985, 0.3829
8207.460, 0.3982
8306.060, 0.3986
8439.086, 0.3824
8566.176, 0.3791
8669.909, 0.3779
8810.208, 0.3722
8922.543, 0.3701
9050.936, 0.3695
9162.111, 0.3666
9327.101, 0.3636
9443.263, 0.3607
9542.250, 0.3595
9679.958, 0.3572
9775.114, 0.3544
9910.375, 0.3512
10021.066, 0.3497
10139.763, 0.3486
10283.582, 0.3433
10396.020, 0.3417
10506.801, 0.3409
10663.807, 0.3358
10760.093, 0.3339
10868.858, 0.3326
11002.604, 0.3296
11122.762, 0.3274
11237.378, 0.3253
11377.224, 0.3229
11476.276, 0.3209
11638.177, 0.3193
11724.232, 0.3165
11863.674, 0.3153
11963.026, 0.3138
12114.805, 0.3101
12255.225, 0.3090
12369.865, 0.3074
12466.676, 0.3037
12605.990, 0.3016
12723.107, 0.3001
12844.424, 0.2985
12939.226, 0.2953
13087.219, 0.2937
13217.350, 0.2919
13347.370, 0.2888
13455.869, 0.2869
13564.198, 0.2852
13708.716, 0.2820
13806.392, 0.2804
13905.077, 0.2786
14062.866, 0.2751
14208.810, 0.2734
14305.491, 0.2717
14430.940, 0.2683
14531.394, 0.2666
14689.060, 0.2649
14776.658, 0.2616
14923.585, 0.2600
15022.052, 0.2584
15205.929, 0.2551
15272.692, 0.2535
15421.004, 0.2519
15529.942, 0.2487
15626.132, 0.2470
15758.478, 0.2453
15884.423, 0.2422
16011.809, 0.2406
16150.471, 0.2390
16253.352, 0.2359
16422.805, 0.2343
16495.421, 0.2327
16634.271, 0.2296
16751.907, 0.2280
16848.540, 0.2265
16992.949, 0.2234
17092.745, 0.2218
17247.013, 0.2203
17338.475, 0.2172
17461.686, 0.2157
