ms, kg
361.570, -0.0051
417.974, -0.0051
454.615, -0.0051
491.108, -0.0051
557.047, -0.0050
586.663, -0.0050
636.315, -0.0051
696.836, -0.0050
714.972, -0.0051
768.324, -0.0051
792.097, -0.0050
821.604, -0.0051
859.425, -0.0051
906.482, -0.0052
965.849, -0.0053
1000.845, -0.0053
1032.108, -0.0051
1080.328, -0.0051
1123.609, -0.0052
1178.288, -0.0052
1222.601, -0.0051
1247.787, -0.0051
1279.310, -0.0052
1334.918, -0.0051
1347.702, -0.0051
1408.477, -0.0051
1445.856, -0.0051
1469.124, -0.0051
1541.971, -0.0050
1567.514, -0.0050
1644.402, -0.0050
1674.006, -0.0050
1709.581, -0.0049
1745.180, -0.0049
1785.801, -0.0048
1827.984, -0.0049
1890.967, -0.0050
1932.456, -0.0052
2009.424, -0.0053
2039.144, -0.0053
2063.037, -0.0052
2086.419, -0.0051
2129.760, -0.0051
2190.505, -0.0050
2209.513, -0.0051
2269.590, -0.0051
2330.217, -0.0050
2380.563, -0.0050
2393.302, -0.0051
2418.418, -0.0051
2449.136, -0.0049
2498.307, -0.0049
2547.816, -0.0049
2597.317, -0.0048
2635.092, -0.0049
2666.161, -0.0049
2727.002, -0.0049
2770.408, -0.0049
2871.453, -0.0050
2912.608, -0.0053
2971.833, -0.0052
3015.459, -0.0051
3027.601, -0.0050
3098.958, -0.0051
3117.069, -0.0052
3167.310, -0.0051
3198.925, -0.0051
3228.144, -0.0050
3287.415, -0.0049
3324.752, -0.0050
3354.550, -0.0050
3425.720, -0.0050
3485.348, -0.0050
3526.547, -0.0051
3569.687, -0.0051
3623.409, -0.0052
3666.816, -0.0051
3728.772, -0.0051
3791.709, -0.0051
3823.204, -0.0051
3854.721, -0.0051
3879.479, -0.0051
3904.653, -0.0051
3940.550, -0.0051
3987.584, -0.0051
4036.690, -0.0051
4072.217, -0.0051
4127.536, -0.0051
4182.878, -0.0051
4237.929, -0.0051
4267.594, -0.0050
4279.709, -0.0050
4332.674, -0.0050
4385.956, -0.0050
4434.115, -0.0050
4503.228, -0.0050
4553.523, -0.0050
4590.844, -0.0050
4627.846, -0.0050
4688.228, -0.0049
4757.398, -0.0050
4811.552, -0.0049
4866.567, -0.0050
4913.971, -0.0050
4973.255, -0.0050
4996.892, -0.0049
5040.288, -0.0050
5063.982, -0.0050
5081.784, -0.0050
5111.390, -0.0050
5123.807, -0.0050
5215.921, -0.0050
5277.621, -0.0045
5325.958, 0.0040
5387.000, 0.0217
5442.298, 0.0115
5495.954, 0.0005
5606.395, 0.0007
5649.715, 0.0021
5661.563, 0.0046
5727.575, 0.0120
5764.383, 0.0182
5834.761, 0.0245
5846.613, 0.0406
5870.342, 0.0508
5894.438, 0.0610
5941.509, 0.0756
5994.895, 0.0849
6026.164, 0.0975
6055.506, 0.1178
6085.767, 0.1300
6140.710, 0.1415
6182.169, 0.1518
6212.632, 0.1762
6269.058, 0.1862
6306.406, 0.1984
6347.877, 0.2285
6377.533, 0.2463
6419.010, 0.2644
6467.953, 0.2920
6516.486, 0.3043
6539.536, 0.3180
6557.534, 0.3575
6704.978, 0.3747
6803.653, 0.3920
6935.376, 0.4176
7058.523, 0.4237
7161.163, 0.4228
7284.717, 0.4176
7408.373, 0.4139
7537.912, 0.4121
7641.137, 0.4101
7781.180, 0.4070
7941.859, 0.4038
8027.682, 0.4017
8164.213, 0.3997
8285.959, 0.3969
8390.256, 0.3930
8502.549, 0.3915
8636.651, 0.3895
8761.619, 0.3844
8876.792, 0.3834
8995.264, 0.3817
9123.457, 0.3769
9289.213, 0.3751
9368.507, 0.3738
9491.862, 0.3697
9633.302, 0.3673
9736.151, 0.3658
9882.610, 0.3624
9963.246, 0.3601
10091.514, 0.3579
10221.089, 0.3564
10353.112, 0.3528
10454.007, 0.3506
10603.421, 0.3487
10694.549, 0.3454
10829.400, 0.3433
10967.380, 0.3413
11077.172, 0.3378
11178.178, 0.3360
11308.050, 0.3340
11465.807, 0.3303
11584.146, 0.3287
11696.474, 0.3268
11819.257, 0.3230
11924.017, 0.3212
12075.095, 0.3196
12163.457, 0.3158
12285.801, 0.3140
12437.647, 0.3123
12570.490, 0.3089
12642.838, 0.3070
12806.411, 0.3051
12907.783, 0.3018
13029.223, 0.3001
13158.936, 0.2982
13263.261, 0.2947
13397.293, 0.2931
13497.413, 0.2913
13668.919, 0.2878
13779.939, 0.2861
13879.598, 0.2844
13988.871, 0.2809
14131.597, 0.2792
14229.076, 0.2774
14400.979, 0.2739
14505.072, 0.2722
14647.110, 0.2704
14740.702, 0.2670
14856.352, 0.2654
14991.051, 0.2637
15083.828, 0.2603
15223.716, 0.2587
15351.728, 0.2571
15468.078, 0.2555
15578.815, 0.2521
15716.606, 0.2505
15833.108, 0.2489
15954.124, 0.2456
16083.539, 0.2439
16187.466, 0.2423
16316.398, 0.2391
16457.557, 0.2376
16573.753, 0.2359
16695.128, 0.2327
16831.811, 0.2311
16928.475, 0.2296
17073.443, 0.2264
17195.821, 0.2249
17316.352, 0.2233
17393.206, 0.2202
17526.973, 0.2186
17681.123, 0.2170
17773.535, 0.2139
17953.813, 0.2124
18045.542, 0.2109
18157.872, 0.2079
18270.115, 0.2064
18382.782, 0.2049
18546.003, 0.2020
18644.706, 0.2005
18743.258, 0.1990
18889.225, 0.1960
19015.563, 0.1945
19131.766, 0.1931
19272.047, 0.1901
19417.988, 0.1886
19504.857, 0.1872
19609.242, 0.1843
19746.803, 0.1829
19856.548, 0.1814
19983.977, 0.1785
20096.440, 0.1770
20237.097, 0.1756
20335.803, 0.1728
20450.941, 0.1715
20594.643, 0.1700
20706.055, 0.1687
20831.439, 0.1658
20955.507, 0.1645
21077.616, 0.1632
21205.794, 0.1605
21336.386, 0.1591
21444.573, 0.1576
21559.900, 0.1547
21714.884, 0.1533
21827.079, 0.1518
21933.879, 0.1490
22056.213, 0.1477
22187.236, 0.1463
22327.435, 0.1435
22433.974, 0.1421
22567.358, 0.1408
22682.529, 0.1382
22784.971, 0.1369
22898.160, 0.1355
23046.797, 0.1329
23157.143, 0.1315
23279.082, 0.1302
23405.697, 0.1276
23528.060, 0.1263
23633.082, 0.1249
23759.732, 0.1225
23902.668, 0.1213
24020.183, 0.1200
24119.975, 0.1175
24278.942, 0.1162
24363.558, 0.1151
24507.955, 0.1125
24618.158, 0.1114
24761.023, 0.1101
24863.991, 0.1077
25008.584, 0.1065
25095.330, 0.1053
25230.602, 0.1030
25382.591, 0.1019
25471.279, 0.1006
25593.325, 0.0995
25723.367, 0.0972
25857.748, 0.0961
25985.864, 0.0949
26104.027, 0.0928
26222.006, 0.0916
26306.944, 0.0904
26460.642, 0.0882
26559.492, 0.0871
26693.964, 0.0860
26836.773, 0.0838
26937.448, 0.0827
27055.817, 0.0816
27187.003, 0.0795
27290.024, 0.0785
27414.550, 0.0773
27555.234, 0.0751
27690.702, 0.0741
27806.525, 0.0731
27948.056, 0.0712
28046.565, 0.0702
28161.645, 0.0692
28273.957, 0.0672
28410.196, 0.0662
28532.066, 0.0653
28677.663, 0.0634
28768.971, 0.0624
28879.391, 0.0615
29011.859, 0.0596
29133.004, 0.0587
29262.093, 0.0578
29378.092, 0.0561
29513.071, 0.0552
29636.510, 0.0544
29740.882, 0.0528
29868.897, 0.0520
29983.066, 0.0512
30151.062, 0.0494
30233.529, 0.0486
30366.773, 0.0479
30490.116, 0.0472
30600.525, 0.0456
30722.926, 0.0448
30863.025, 0.0441
30947.802, 0.0427
31097.598, 0.0420
31210.093, 0.0412
31344.067, 0.0398
31495.962, 0.0392
31590.450, 0.0385
31726.829, 0.0371
31821.541, 0.0364
31929.880, 0.0358
32073.904, 0.0343
32182.172, 0.0337
32314.447, 0.0331
32445.423, 0.0318
32543.293, 0.0312
32671.421, 0.0305
32813.631, 0.0293
32929.523, 0.0287
33028.097, 0.0282
33178.148, 0.0270
33330.165, 0.0264
33402.777, 0.0259
33547.254, 0.0248
33662.963, 0.0243
33761.285, 0.0237
33896.797, 0.0228
33992.328, 0.0223
34134.326, 0.0219
34280.323, 0.0210
34378.920, 0.0206
34545.463, 0.0202
34662.693, 0.0194
34738.346, 0.0190
34883.681, 0.0187
35012.345, 0.0181
35112.209, 0.0178
35251.095, 0.0175
35386.620, 0.0171
35510.093, 0.0168
35609.973, 0.0166
35715.554, 0.0163
35841.442, 0.0159
35988.407, 0.0157
36076.025, 0.0155
36235.644, 0.0151
36387.885, 0.0149
36482.679, 0.0148
36617.740, 0.0144
36702.234, 0.0142
36844.943, 0.0140
36949.062, 0.0136
37083.027, 0.0134
37201.095, 0.0133
37335.944, 0.0130
37456.075, 0.0129
37615.071, 0.0127
37666.683, 0.0125
37836.689, 0.0124
37929.385, 0.0122
38080.805, 0.0120
38150.832, 0.0120
38293.660, 0.0119
38412.669, 0.0115
38555.658, 0.0113
38655.946, 0.0112
38777.884, 0.0111
38924.048, 0.0110
39029.900, 0.0108
39202.327, 0.0107
39267.987, 0.0107
39400.978, 0.0106
39534.230, 0.0106
39616.281, 0.0106
39743.874, 0.0105
39883.828, 0.0104
39989.129, 0.0103
40124.567, 0.0102
40250.774, 0.0100
40372.790, 0.0098
40488.282, 0.0097
40594.081, 0.0097
40722.156, 0.0095
40839.572, 0.0095
40967.403, 0.0095
41094.378, 0.0093
41214.144, 0.0093
41363.598, 0.0092
41486.275, 0.0090
41580.748, 0.0090
41716.442, 0.0089
41839.117, 0.0088
41957.431, 0.0088
42077.747, 0.0088
42206.446, 0.0087
42318.039, 0.0086
42452.114, 0.0087
42556.692, 0.0087
42667.186, 0.0088
42826.938, 0.0087
42939.933, 0.0088
43056.915, 0.0088
43160.719, 0.0088
43330.776, 0.0088
43433.115, 0.0088
43547.119, 0.0089
43694.224, 0.0089
43769.093, 0.0088
