ms, kg
321.290, -0.0028
339.644, -0.0027
368.694, -0.0027
386.606, -0.0027
422.037, -0.0027
463.559, -0.0027
481.240, -0.0027
553.649, -0.0027
590.226, -0.0027
638.391, -0.0027
700.333, -0.0027
750.529, -0.0027
763.178, -0.0027
794.880, -0.0027
819.815, -0.0027
845.090, -0.0028
876.035, -0.0028
905.285, -0.0028
954.497, -0.0028
1022.352, -0.0028
1035.110, -0.0028
1076.856, -0.0028
1141.897, -0.0028
1171.556, -0.0029
1218.865, -0.0029
1242.544, -0.0029
1291.604, -0.0029
1335.466, -0.0029
1390.361, -0.0029
1451.551, -0.0029
1498.838, -0.0029
1524.059, -0.0028
1567.730, -0.0029
1616.759, -0.0029
1683.679, -0.0029
1739.712, -0.0029
1799.461, -0.0028
1841.497, -0.0028
1865.213, -0.0027
1925.211, -0.0027
1960.365, -0.0026
2015.600, -0.0026
2077.418, -0.0026
2115.187, -0.0026
2146.721, -0.0026
2189.003, -0.0027
2214.318, -0.0027
2226.069, -0.0027
2255.688, -0.0027
2297.107, -0.0027
2350.427, -0.0028
2386.221, -0.0028
2421.508, -0.0029
2470.686, -0.0028
2512.271, -0.0028
2529.896, -0.0028
2590.802, -0.0028
2634.835, -0.0027
2678.093, -0.0028
2733.759, -0.0028
2790.039, -0.0029
2857.382, -0.0028
2923.607, -0.0028
3001.603, -0.0028
3123.312, -0.0028
3282.920, -0.0014
3361.673, 0.0031
3475.733, 0.0126
3607.813, 0.0226
3730.521, 0.0285
3830.910, 0.0347
3977.936, 0.0482
4085.016, 0.0564
4234.666, 0.0606
4352.485, 0.0687
4458.032, 0.0740
4598.834, 0.0775
4720.616, 0.0833
4827.605, 0.0862
4949.200, 0.0903
5088.282, 0.0986
5188.181, 0.1023
5340.289, 0.1043
5423.439, 0.1080
5582.824, 0.1108
5727.520, 0.1144
5801.685, 0.1176
5941.673, 0.1228
6047.996, 0.1250
6168.122, 0.1264
6285.912, 0.1330
6418.842, 0.1372
6565.237, 0.1422
6693.197, 0.1498
6781.322, 0.1547
6924.777, 0.1592
7045.510, 0.1686
7137.089, 0.1746
7277.859, 0.1808
7370.305, 0.1993
7516.512, 0.2067
7638.207, 0.2126
7772.961, 0.2271
7914.295, 0.2333
8003.702, 0.2409
8122.822, 0.2704
8257.056, 0.2955
8366.747, 0.3173
8505.304, 0.2856
8622.036, 0.3029
8744.234, 0.2978
8866.529, 0.2884
8973.154, 0.2781
9121.111, 0.2870
9217.709, 0.2850
9333.733, 0.2817
9471.457, 0.2723
9575.277, 0.2806
9715.948, 0.2761
9832.798, 0.2738
9958.476, 0.2653
10128.414, 0.2704
10222.562, 0.2682
10359.476, 0.2604
10435.153, 0.2567
