ms, kg
288.284, -0.0019
317.110, -0.0019
390.331, -0.0018
440.743, -0.0018
470.649, -0.0018
535.862, -0.0019
603.512, -0.0018
638.655, -0.0019
668.611, -0.0019
718.022, -0.0019
780.831, -0.0018
824.181, -0.0018
880.706, -0.0018
934.904, -0.0019
983.550, -0.0019
1020.752, -0.0019
1070.519, -0.0018
1088.214, -0.0019
1129.699, -0.0019
1153.366, -0.0018
1183.111, -0.0018
1219.082, -0.0018
1262.190, -0.0018
1321.123, -0.0018
1363.251, -0.0019
1398.443, -0.0019
1434.821, -0.0020
1459.503, -0.0019
1514.475, -0.0019
1545.948, -0.0019
1581.582, -0.0019
1623.029, -0.0019
1686.022, -0.0019
1753.693, -0.0019
1796.447, -0.0019
1869.313, -0.0019
1917.828, -0.0020
1955.479, -0.0020
2010.561, -0.0019
2047.959, -0.0019
2103.910, -0.0019
2141.868, -0.0019
2179.610, -0.0019
2216.247, -0.0019
2271.239, -0.0019
2377.863, -0.0018
2425.338, -0.0019
2484.439, -0.0019
2513.973, -0.0019
2545.031, -0.0019
2569.014, -0.0019
2605.333, -0.0019
2657.887, -0.0019
2663.903, -0.0019
2693.547, -0.0019
2748.433, -0.0019
2773.797, -0.0019
2797.831, -0.0019
2833.828, -0.0019
2863.303, -0.0019
2886.614, -0.0019
2904.362, -0.0020
2967.169, -0.0020
3011.193, -0.0020
3055.377, -0.0020
3080.467, -0.0019
3111.467, -0.0019
3141.023, -0.0020
3158.850, -0.0020
3250.921, -0.0020
3280.938, -0.0020
3328.425, -0.0020
3382.207, -0.0017
3429.818, 0.0021
3518.629, 0.0153
3611.673, 0.0255
3740.458, 0.0380
3868.605, 0.0567
3978.896, 0.0689
4120.613, 0.0783
4220.907, 0.0994
4369.647, 0.1113
4461.908, 0.1234
4574.675, 0.1485
4726.251, 0.1588
4886.015, 0.1678
4956.676, 0.1764
5082.660, 0.1929
5210.563, 0.2003
5357.892, 0.2068
5460.497, 0.2186
5560.080, 0.2245
5694.544, 0.2299
5803.685, 0.2403
5944.997, 0.2476
6049.623, 0.2566
6160.973, 0.2704
6317.670, 0.2795
6452.318, 0.2915
6542.361, 0.3097
6662.688, 0.3169
6790.916, 0.3238
6944.717, 0.3384
7064.388, 0.3450
7149.724, 0.3503
7264.095, 0.3567
7422.342, 0.3560
7530.460, 0.3531
7648.147, 0.3484
7746.072, 0.3467
7900.774, 0.3451
8029.029, 0.3414
8126.191, 0.3392
8277.597, 0.3373
8396.494, 0.3342
8495.625, 0.3320
8623.643, 0.3299
8758.975, 0.3267
8861.957, 0.3252
9018.782, 0.3231
9110.268, 0.3190
9245.222, 0.3176
9375.329, 0.3160
9477.836, 0.3120
9611.797, 0.3100
9744.319, 0.3085
9859.879, 0.3049
9986.367, 0.3028
10078.719, 0.3009
10254.163, 0.2994
10331.232, 0.2960
10447.980, 0.2940
10564.037, 0.2922
10683.340, 0.2889
10833.982, 0.2872
10950.478, 0.2853
11045.087, 0.2818
11197.525, 0.2802
11317.884, 0.2786
11430.050, 0.2749
11559.013, 0.2732
11660.121, 0.2716
11820.214, 0.2682
11908.672, 0.2663
12032.894, 0.2646
12162.820, 0.2616
12267.602, 0.2598
12397.774, 0.2581
12538.194, 0.2548
12659.780, 0.2533
12782.013, 0.2517
12911.971, 0.2481
13025.227, 0.2465
13146.488, 0.2450
13305.224, 0.2418
13374.722, 0.2401
13507.343, 0.2384
13626.244, 0.2352
13761.667, 0.2336
13877.023, 0.2320
13995.866, 0.2288
14105.031, 0.2273
14235.921, 0.2258
14357.837, 0.2226
14486.072, 0.2209
14591.639, 0.2194
14754.140, 0.2179
14861.765, 0.2148
14980.163, 0.2132
15094.146, 0.2117
15198.424, 0.2088
15346.208, 0.2073
15477.737, 0.2058
15580.723, 0.2027
15726.616, 0.2012
15845.732, 0.1998
15978.566, 0.1968
16075.015, 0.1954
16199.152, 0.1939
16311.758, 0.1910
16429.961, 0.1895
16554.170, 0.1880
16658.659, 0.1851
16810.585, 0.1837
16931.993, 0.1822
17083.570, 0.1793
