ms, kg
215.909, -0.0033
271.591, -0.0033
296.996, -0.0033
363.987, -0.0033
419.086, -0.0032
431.084, -0.0032
454.822, -0.0032
521.894, -0.0032
545.445, -0.0032
595.508, -0.0032
632.069, -0.0032
676.075, -0.0032
726.379, -0.0032
756.486, -0.0032
791.985, -0.0032
841.599, -0.0032
879.031, -0.0032
902.775, -0.0032
926.020, -0.0032
980.657, -0.0032
999.205, -0.0032
1034.240, -0.0033
1088.252, -0.0032
1141.086, -0.0032
1193.861, -0.0032
1237.258, -0.0032
1285.457, -0.0033
1320.679, -0.0034
1350.250, -0.0034
1411.540, -0.0035
1435.147, -0.0034
1470.711, -0.0034
1494.191, -0.0034
1547.991, -0.0034
1583.110, -0.0035
1632.319, -0.0033
1675.738, -0.0038
1711.440, -0.0053
1741.416, -0.0025
1813.866, -0.0037
1851.428, -0.0040
1881.028, -0.0037
1910.677, -0.0034
1958.193, -0.0030
1975.901, -0.0040
2012.410, -0.0032
2044.047, -0.0031
2100.631, -0.0036
2148.756, -0.0033
2180.200, -0.0032
2224.250, -0.0029
2268.310, -0.0033
2287.207, -0.0030
2343.788, -0.0030
2356.357, -0.0033
2411.903, -0.0031
2443.413, -0.0030
2493.635, -0.0030
2537.666, -0.0030
2562.828, -0.0032
2619.483, -0.0030
2656.179, -0.0031
2705.889, -0.0031
2761.151, -0.0030
2773.015, -0.0030
2804.113, -0.0031
2821.886, -0.0031
2921.242, -0.0031
2950.756, -0.0031
3007.400, -0.0031
3037.325, -0.0030
3054.991, -0.0030
3092.244, -0.0030
3141.556, -0.0030
3141.720, -0.0029
3190.579, -0.0030
3232.411, -0.0030
3285.304, -0.0031
3322.805, -0.0031
3353.103, -0.0031
3413.506, -0.0031
3443.100, -0.0031
3473.029, -0.0031
3514.603, -0.0031
3526.379, -0.0031
3561.472, -0.0031
3591.463, -0.0030
3634.381, -0.0031
3701.807, -0.0031
3745.395, -0.0031
3764.346, -0.0032
3805.620, -0.0032
3835.311, -0.0031
3859.022, -0.0031
3913.231, -0.0032
3967.332, -0.0032
4016.571, -0.0031
4047.059, -0.0031
4071.843, -0.0031
4107.379, -0.0031
4181.737, -0.0031
4229.582, -0.0032
4300.613, -0.0031
4357.264, -0.0030
4381.925, -0.0031
4444.786, -0.0019
4475.574, 0.0033
4529.482, 0.0090
4547.088, 0.0219
4623.965, 0.0347
4747.998, 0.0459
4888.269, 0.0626
4957.139, 0.0681
5085.060, 0.0730
5263.734, 0.0826
5331.476, 0.0882
5501.497, 0.0944
5578.218, 0.1063
5699.721, 0.1125
5841.538, 0.1175
5953.900, 0.1261
6091.876, 0.1319
6203.853, 0.1371
6308.683, 0.1476
6430.526, 0.1526
6550.031, 0.1584
6722.582, 0.1738
6806.448, 0.1808
6911.022, 0.1886
7064.737, 0.1964
7169.136, 0.2103
7297.447, 0.2175
7415.822, 0.2229
7526.144, 0.2351
7668.299, 0.2424
7808.084, 0.2548
7900.857, 0.2704
8023.875, 0.2683
8136.156, 0.2647
8281.105, 0.2595
8389.387, 0.2571
8491.856, 0.2542
8655.581, 0.2535
8747.665, 0.2519
8866.766, 0.2493
9039.917, 0.2448
9138.265, 0.2446
9238.739, 0.2435
9392.579, 0.2388
9473.126, 0.2369
9620.730, 0.2358
9747.056, 0.2337
9859.575, 0.2313
9984.200, 0.2289
10114.707, 0.2266
10239.777, 0.2254
10362.057, 0.2235
10474.687, 0.2194
10582.971, 0.2183
10719.817, 0.2174
10823.979, 0.2138
10963.945, 0.2117
11070.480, 0.2103
11198.757, 0.2080
11353.987, 0.2062
11456.876, 0.2042
11598.444, 0.2011
11704.856, 0.2000
11841.314, 0.1985
12005.826, 0.1969
12117.040, 0.1936
12244.807, 0.1924
12330.855, 0.1909
12440.759, 0.1880
12591.749, 0.1864
12728.305, 0.1850
12810.079, 0.1823
12918.243, 0.1810
13006.707, 0.1795
13207.758, 0.1764
13301.430, 0.1751
13380.375, 0.1738
13535.852, 0.1709
13664.121, 0.1694
13788.778, 0.1682
13943.107, 0.1655
14020.528, 0.1640
14150.607, 0.1627
14251.381, 0.1598
14405.215, 0.1585
14516.631, 0.1571
14631.279, 0.1545
14756.839, 0.1532
14872.849, 0.1518
14989.244, 0.1493
15132.328, 0.1481
15234.249, 0.1467
15366.531, 0.1442
15544.800, 0.1428
15612.143, 0.1416
15715.743, 0.1390
15876.719, 0.1378
15975.547, 0.1366
16101.838, 0.1340
16244.158, 0.1328
16336.475, 0.1317
16470.082, 0.1290
16582.698, 0.1277
16685.781, 0.1264
16811.631, 0.1252
16987.079, 0.1227
17079.721, 0.1214
17183.819, 0.1202
17288.807, 0.1178
17435.733, 0.1165
17546.694, 0.1154
17681.993, 0.1128
17809.695, 0.1117
17915.783, 0.1104
18037.057, 0.1080
18150.565, 0.1068
18309.440, 0.1056
18434.641, 0.1032
18524.029, 0.1021
18688.831, 0.1008
18783.998, 0.0985
18891.561, 0.0974
19027.113, 0.0962
19134.420, 0.0939
19298.418, 0.0928
19422.435, 0.0917
19487.155, 0.0897
19616.790, 0.0886
19727.452, 0.0876
19857.464, 0.0856
19992.925, 0.0846
20135.628, 0.0837
20220.398, 0.0817
20367.144, 0.0807
20471.304, 0.0797
20616.787, 0.0778
20724.319, 0.0768
20878.149, 0.0758
