ms, kg
288.053, -0.0089
331.430, -0.0088
362.392, -0.0089
381.081, -0.0089
437.772, -0.0088
469.447, -0.0089
530.702, -0.0088
579.049, -0.0089
617.322, -0.0089
689.224, -0.0089
712.266, -0.0089
759.729, -0.0089
834.457, -0.0088
895.711, -0.0089
960.433, -0.0089
1010.578, -0.0089
1053.168, -0.0089
1118.423, -0.0089
1155.914, -0.0089
1209.255, -0.0088
1246.912, -0.0089
1321.379, -0.0089
1371.810, -0.0089
1432.510, -0.0090
1451.351, -0.0089
1501.732, -0.0089
1538.478, -0.0089
1574.008, -0.0089
1621.463, -0.0089
1627.907, -0.0089
1682.319, -0.0090
1717.728, -0.0089
1760.716, -0.0089
1798.534, -0.0087
1853.732, -0.0086
1895.256, -0.0087
1924.881, -0.0086
1966.662, -0.0087
2027.701, -0.0087
2092.591, -0.0088
2139.888, -0.0089
2182.310, -0.0089
2211.020, -0.0089
2258.498, -0.0088
2319.705, -0.0088
2363.104, -0.0088
2399.150, -0.0087
2523.922, -0.0087
2638.825, -0.0088
2768.995, -0.0088
2885.177, -0.0087
3019.319, -0.0086
3168.402, -0.0047
3260.998, 0.0181
3373.666, 0.0336
3523.400, 0.0478
3621.873, 0.0949
3765.588, 0.1164
3880.047, 0.1479
4002.427, 0.1973
4112.894, 0.2210
4247.081, 0.2363
4361.451, 0.2541
4500.310, 0.2484
4598.102, 0.2441
4722.334, 0.2406
4827.588, 0.2390
4962.646, 0.2362
5085.794, 0.2329
5207.031, 0.2320
5331.757, 0.2311
5461.325, 0.2269
5573.845, 0.2245
5676.349, 0.2232
5859.503, 0.2208
5928.932, 0.2190
6054.846, 0.2167
6196.810, 0.2141
6290.356, 0.2132
6411.639, 0.2115
6537.645, 0.2074
6670.273, 0.2060
6829.557, 0.2051
6910.389, 0.2021
7046.414, 0.2003
7166.687, 0.1985
7304.826, 0.1965
7405.208, 0.1951
7519.427, 0.1932
7657.409, 0.1914
7757.384, 0.1890
7900.631, 0.1879
8033.805, 0.1863
8142.314, 0.1828
8260.523, 0.1815
8382.870, 0.1805
8526.587, 0.1778
8649.661, 0.1759
8772.890, 0.1744
8887.705, 0.1719
8986.970, 0.1706
9112.472, 0.1690
9251.290, 0.1659
9376.372, 0.1646
9488.724, 0.1635
9589.533, 0.1606
9762.917, 0.1590
9874.152, 0.1574
9989.582, 0.1549
10105.634, 0.1536
10245.655, 0.1521
10342.741, 0.1491
10451.572, 0.1478
10602.219, 0.1465
10728.737, 0.1437
10848.905, 0.1422
10945.404, 0.1409
11071.498, 0.1382
11185.664, 0.1369
11331.963, 0.1356
11450.844, 0.1328
11568.597, 0.1316
11678.232, 0.1303
11813.995, 0.1276
11933.946, 0.1263
12042.339, 0.1250
12162.475, 0.1224
12296.394, 0.1211
12415.795, 0.1199
12548.397, 0.1186
12660.680, 0.1161
12771.181, 0.1149
12906.793, 0.1135
13057.063, 0.1110
13121.819, 0.1098
13261.665, 0.1085
13405.369, 0.1060
13507.504, 0.1049
13631.716, 0.1036
13774.040, 0.1012
13889.647, 0.1000
14014.943, 0.0988
14116.505, 0.0964
14232.849, 0.0953
14345.303, 0.0941
14480.850, 0.0918
14615.716, 0.0906
14714.882, 0.0895
14842.979, 0.0873
14942.296, 0.0862
15091.962, 0.0851
15210.421, 0.0829
15374.526, 0.0818
15506.080, 0.0807
15573.586, 0.0786
15720.898, 0.0775
15837.522, 0.0764
15931.850, 0.0743
16066.336, 0.0733
16182.790, 0.0722
16312.630, 0.0702
16450.573, 0.0692
16551.216, 0.0681
16667.349, 0.0660
16808.853, 0.0651
16933.724, 0.0641
17051.731, 0.0620
17158.218, 0.0611
17311.911, 0.0601
17423.979, 0.0581
17538.357, 0.0572
17678.531, 0.0562
17777.055, 0.0552
17932.782, 0.0533
18051.234, 0.0524
18139.404, 0.0515
18271.570, 0.0497
18423.056, 0.0488
18503.959, 0.0479
18664.214, 0.0461
18765.454, 0.0452
18867.776, 0.0444
18997.007, 0.0426
19124.731, 0.0417
19240.975, 0.0409
19403.921, 0.0392
19498.596, 0.0385
19620.557, 0.0377
19724.927, 0.0361
19854.913, 0.0354
19972.458, 0.0347
20104.680, 0.0332
20231.553, 0.0325
20353.541, 0.0319
20481.473, 0.0304
20586.090, 0.0297
20720.269, 0.0290
20838.304, 0.0277
20948.767, 0.0271
21102.365, 0.0265
21187.009, 0.0253
21341.718, 0.0246
21435.375, 0.0241
21552.432, 0.0229
21695.850, 0.0224
21805.319, 0.0218
21951.923, 0.0206
22061.491, 0.0201
22176.467, 0.0196
22294.105, 0.0185
22461.606, 0.0181
22546.299, 0.0176
22662.922, 0.0171
22778.723, 0.0163
22941.171, 0.0158
23013.523, 0.0154
23144.207, 0.0146
23288.826, 0.0143
23371.157, 0.0140
23518.264, 0.0135
23620.885, 0.0133
23768.717, 0.0130
23885.811, 0.0125
23999.433, 0.0123
24124.193, 0.0120
24240.070, 0.0115
24383.461, 0.0113
24486.606, 0.0111
24600.991, 0.0107
24747.273, 0.0105
24862.883, 0.0103
24969.942, 0.0100
25113.716, 0.0098
25216.323, 0.0097
25393.497, 0.0094
25490.596, 0.0092
25576.556, 0.0091
25717.252, 0.0088
25846.753, 0.0087
25947.047, 0.0086
26068.715, 0.0083
26205.096, 0.0082
26345.060, 0.0080
26443.302, 0.0078
26547.835, 0.0077
26687.810, 0.0076
26820.014, 0.0074
26926.453, 0.0073
27086.917, 0.0072
27174.767, 0.0070
27284.119, 0.0070
27424.408, 0.0069
27542.008, 0.0068
27652.106, 0.0067
27786.369, 0.0066
27904.358, 0.0065
28057.687, 0.0062
28134.251, 0.0062
28287.146, 0.0061
28432.186, 0.0059
28515.242, 0.0058
28641.093, 0.0057
28753.535, 0.0057
28881.521, 0.0056
29017.878, 0.0054
29116.120, 0.0053
29266.065, 0.0053
29385.208, 0.0052
29518.458, 0.0051
29613.028, 0.0051
29751.060, 0.0050
29859.625, 0.0049
30005.812, 0.0049
30092.222, 0.0047
30238.213, 0.0047
30366.353, 0.0047
30468.657, 0.0047
30590.681, 0.0047
30684.058, 0.0047
30849.733, 0.0047
