ms, kg
254.852, -0.0029
280.084, -0.0028
315.707, -0.0029
358.849, -0.0029
437.695, -0.0029
473.369, -0.0028
514.882, -0.0027
520.744, -0.0026
564.084, -0.0026
625.636, -0.0026
648.938, -0.0026
690.506, -0.0026
733.077, -0.0026
774.533, -0.0027
847.364, -0.0027
900.656, -0.0026
944.038, -0.0027
968.026, -0.0027
1028.518, -0.0027
1082.300, -0.0027
1111.917, -0.0027
1141.066, -0.0027
1183.431, -0.0026
1230.934, -0.0027
1254.159, -0.0026
1309.377, -0.0026
1338.914, -0.0027
1362.665, -0.0027
1392.239, -0.0027
1447.676, -0.0027
1510.740, -0.0027
1548.546, -0.0027
1561.224, -0.0026
1621.098, -0.0027
1664.457, -0.0028
1676.297, -0.0028
1741.469, -0.0028
1765.200, -0.0025
1818.489, -0.0025
1853.968, -0.0025
1883.528, -0.0024
1932.193, -0.0023
1987.284, -0.0023
2036.835, -0.0023
2090.566, -0.0022
2137.572, -0.0023
2197.513, -0.0022
2228.268, -0.0022
2275.870, -0.0022
2336.730, -0.0022
2377.820, -0.0022
2389.794, -0.0023
2437.113, -0.0023
2514.663, -0.0022
2607.034, -0.0022
2770.105, -0.0023
2853.474, -0.0022
2971.261, -0.0022
3114.963, -0.0022
3227.429, -0.0023
3349.434, -0.0022
3448.085, -0.0022
3586.406, -0.0023
3708.266, -0.0023
3848.980, -0.0023
3961.019, -0.0023
4095.655, -0.0023
4199.623, -0.0023
4329.577, -0.0023
4434.990, -0.0023
4596.846, -0.0023
4693.432, -0.0016
4809.720, 0.0020
4939.790, 0.0067
5081.486, 0.0185
5144.377, 0.0248
5293.645, 0.0325
5415.700, 0.0555
5550.659, 0.0651
5695.109, 0.0773
5801.074, 0.1020
5906.454, 0.1176
6060.625, 0.1329
6153.556, 0.1544
6281.319, 0.1683
6406.976, 0.1817
6528.301, 0.1918
6637.394, 0.2090
6741.526, 0.2198
6888.243, 0.2277
7011.701, 0.2418
7119.242, 0.2499
7258.226, 0.2580
7382.880, 0.2732
7499.585, 0.2813
7631.097, 0.2901
7749.835, 0.3098
7896.135, 0.3210
8014.089, 0.3339
