ms, kg
276.083, -0.0093
307.230, -0.0093
354.587, -0.0093
397.340, -0.0093
465.130, -0.0093
494.731, -0.0093
538.018, -0.0093
585.240, -0.0093
658.247, -0.0092
675.978, -0.0093
711.517, -0.0092
736.433, -0.0092
760.845, -0.0092
790.470, -0.0091
832.334, -0.0091
881.698, -0.0092
893.374, -0.0091
922.648, -0.0092
952.290, -0.0091
996.494, -0.0092
1032.941, -0.0092
1089.904, -0.0091
1107.686, -0.0091
1149.146, -0.0091
1166.496, -0.0091
1219.781, -0.0091
1261.430, -0.0091
1304.246, -0.0090
1316.639, -0.0091
1357.956, -0.0091
1405.727, -0.0090
1452.745, -0.0091
1488.235, -0.0091
1530.482, -0.0090
1572.724, -0.0090
1616.569, -0.0089
1671.173, -0.0089
1683.677, -0.0089
1719.679, -0.0089
1737.018, -0.0089
1772.515, -0.0089
1802.095, -0.0089
1857.396, -0.0089
1881.073, -0.0089
1922.612, -0.0089
1970.414, -0.0090
2019.327, -0.0089
2096.011, -0.0089
2207.743, -0.0080
2301.568, 0.0028
2446.951, 0.0371
2561.146, 0.0513
2714.151, 0.0648
2835.864, 0.1050
2971.622, 0.1193
3038.383, 0.1425
3188.501, 0.1882
3295.041, 0.2111
3440.876, 0.2318
3525.378, 0.2536
3652.447, 0.2533
3827.320, 0.2482
3903.976, 0.2403
4028.078, 0.2407
4149.748, 0.2408
4267.779, 0.2350
4376.564, 0.2317
4506.748, 0.2315
4622.883, 0.2306
4774.432, 0.2284
4900.439, 0.2247
5004.707, 0.2226
5148.716, 0.2223
5293.254, 0.2208
5371.924, 0.2153
5509.001, 0.2140
5620.078, 0.2138
5766.456, 0.2108
5851.275, 0.2082
5998.349, 0.2061
6097.949, 0.2046
6221.165, 0.2034
6348.241, 0.2010
6465.699, 0.1972
6582.271, 0.1964
6715.829, 0.1955
6851.773, 0.1919
6974.006, 0.1898
7080.223, 0.1885
7199.078, 0.1876
7318.937, 0.1848
7448.853, 0.1828
7583.902, 0.1811
7706.017, 0.1788
7835.621, 0.1777
7944.520, 0.1759
