ms, kg
293.370, -0.0113
312.053, -0.0118
356.187, -0.0112
399.002, -0.0115
453.369, -0.0109
508.700, -0.0113
533.995, -0.0111
593.149, -0.0113
658.727, -0.0109
717.986, -0.0113
790.482, -0.0110
814.253, -0.0111
861.389, -0.0112
884.858, -0.0112
946.013, -0.0106
951.711, -0.0105
1013.056, -0.0101
1054.093, -0.0100
1101.394, -0.0097
1132.980, -0.0089
1264.699, -0.0101
1349.872, -0.0111
1403.061, -0.0103
1456.464, -0.0102
1491.938, -0.0104
1515.692, -0.0105
1551.268, -0.0105
1575.765, -0.0105
1612.916, -0.0105
1685.843, -0.0106
1716.942, -0.0104
1771.823, -0.0103
1827.493, -0.0104
1899.082, -0.0102
1924.326, -0.0101
1949.486, -0.0103
1999.129, -0.0103
2011.947, -0.0102
2084.815, -0.0103
2139.329, -0.0102
2206.496, -0.0101
2224.227, -0.0101
2253.721, -0.0100
2312.585, -0.0100
2399.540, -0.0100
2442.855, -0.0100
2480.319, -0.0101
2486.794, -0.0101
2505.694, -0.0100
2530.813, -0.0092
2568.499, 0.0078
2653.707, 0.0192
2756.771, 0.0329
2895.278, 0.0670
3002.113, 0.0844
3124.324, 0.1024
3269.344, 0.1476
3375.564, 0.1696
3512.164, 0.1907
3622.907, 0.2284
3764.087, 0.2423
3865.871, 0.2543
3977.694, 0.2478
4105.068, 0.2431
4232.030, 0.2433
4397.019, 0.2398
4468.045, 0.2369
4593.868, 0.2342
4738.716, 0.2327
4854.210, 0.2313
4984.231, 0.2290
5094.745, 0.2247
5202.444, 0.2242
5324.630, 0.2234
5451.357, 0.2193
5575.805, 0.2168
5716.479, 0.2157
5824.755, 0.2134
5962.126, 0.2117
6059.994, 0.2090
6214.082, 0.2063
6292.891, 0.2054
6434.649, 0.2038
6542.202, 0.2000
6667.089, 0.1984
6813.088, 0.1975
6908.992, 0.1944
7053.464, 0.1927
7150.669, 0.1909
7310.409, 0.1897
7418.303, 0.1872
7529.127, 0.1857
7657.471, 0.1836
7785.294, 0.1810
7880.032, 0.1797
8030.854, 0.1784
8151.193, 0.1750
8278.179, 0.1735
8429.844, 0.1723
8510.825, 0.1698
8650.851, 0.1683
8755.264, 0.1668
8873.921, 0.1643
9015.437, 0.1629
9144.153, 0.1614
9236.869, 0.1583
9419.912, 0.1569
9475.112, 0.1556
9611.596, 0.1527
9729.994, 0.1511
9851.462, 0.1497
9974.268, 0.1469
10105.317, 0.1456
10215.631, 0.1442
10347.343, 0.1414
10449.735, 0.1400
10575.140, 0.1388
10693.437, 0.1361
10858.815, 0.1348
10951.573, 0.1334
11058.377, 0.1307
11211.201, 0.1294
11307.419, 0.1281
11437.481, 0.1254
11552.064, 0.1241
11682.125, 0.1229
11794.263, 0.1202
11958.444, 0.1189
12046.368, 0.1176
12161.094, 0.1163
12306.918, 0.1138
12421.310, 0.1125
12527.940, 0.1113
12668.058, 0.1088
12776.371, 0.1076
12886.572, 0.1064
13029.231, 0.1041
13144.545, 0.1028
13280.978, 0.1016
13365.505, 0.0991
13513.389, 0.0980
13631.570, 0.0968
13751.622, 0.0944
13893.666, 0.0932
