ms, kg
306.176, -0.0022
344.018, -0.0022
380.769, -0.0022
416.246, -0.0022
469.572, -0.0022
523.302, -0.0022
566.296, -0.0022
584.105, -0.0022
613.700, -0.0022
637.345, -0.0023
661.107, -0.0024
696.554, -0.0024
738.511, -0.0024
773.541, -0.0023
856.477, -0.0023
886.477, -0.0023
945.482, -0.0023
987.112, -0.0023
1010.314, -0.0023
1071.539, -0.0023
1165.809, -0.0022
1216.029, -0.0022
1228.545, -0.0023
1277.799, -0.0023
1302.218, -0.0023
1369.178, -0.0023
1386.908, -0.0023
1458.019, -0.0023
1476.152, -0.0023
1505.409, -0.0022
1555.012, -0.0022
1596.186, -0.0021
1688.599, -0.0021
1738.146, -0.0021
1761.839, -0.0021
1792.284, -0.0021
1816.797, -0.0021
1853.016, -0.0022
1919.982, -0.0023
1949.486, -0.0022
1999.904, -0.0021
2050.152, -0.0021
2099.130, -0.0020
2122.861, -0.0021
2146.530, 0.0021
2201.411, 0.0088
2245.117, 0.0373
2280.720, 0.0517
2310.302, 0.0603
2351.763, 0.0709
2405.181, 0.0762
2447.017, 0.0607
2505.934, 0.0342
2556.395, 0.0077
2604.378, 0.0004
2651.767, -0.0014
2663.587, -0.0018
2711.042, -0.0019
2776.259, -0.0017
2830.308, -0.0017
2867.285, -0.0018
2910.971, -0.0017
2935.414, -0.0018
2965.476, -0.0018
3002.095, -0.0018
3065.229, -0.0018
3088.780, -0.0019
3112.910, -0.0019
3136.129, -0.0019
3153.880, -0.0019
3177.603, -0.0019
3201.290, -0.0019
3281.905, -0.0019
3312.271, -0.0020
3353.673, -0.0019
3401.074, -0.0020
3460.141, -0.0020
3507.203, -0.0020
3548.662, -0.0020
3572.425, -0.0020
3633.424, -0.0020
3675.814, -0.0020
3751.852, -0.0020
3793.678, -0.0020
3811.074, -0.0020
3841.434, -0.0020
3870.656, -0.0021
3899.907, -0.0021
3948.937, -0.0017
3992.307, 0.0022
4086.146, 0.0072
4130.282, 0.0125
4149.260, 0.0215
4239.452, 0.0368
4271.877, 0.0441
4297.945, 0.0522
4376.054, 0.0690
4446.492, 0.0785
4502.942, 0.0864
4564.638, 0.1011
4630.211, 0.1088
4661.416, 0.1185
4709.993, 0.1359
4837.235, 0.1422
4937.060, 0.1495
5108.837, 0.1661
5231.901, 0.1747
5337.767, 0.1832
5473.103, 0.1983
5575.592, 0.2071
5697.944, 0.2167
5819.856, 0.2347
5946.445, 0.2441
6056.705, 0.2554
6202.827, 0.2814
6293.365, 0.2917
6424.021, 0.3015
6549.464, 0.3166
6713.018, 0.3187
6786.288, 0.3140
6921.248, 0.3085
7062.746, 0.3077
7164.544, 0.3068
7267.167, 0.3018
7422.945, 0.2997
7519.010, 0.2987
7660.796, 0.2977
7773.631, 0.2931
7868.283, 0.2910
