ms, kg
228.231, -0.0038
295.394, -0.0038
355.116, -0.0038
409.930, -0.0037
469.120, -0.0038
494.447, -0.0038
524.332, -0.0037
554.765, -0.0038
612.943, -0.0037
650.437, -0.0037
680.200, -0.0037
721.343, -0.0037
762.883, -0.0037
798.903, -0.0037
834.753, -0.0037
883.426, -0.0037
958.148, -0.0037
970.803, -0.0037
1007.368, -0.0037
1076.081, -0.0037
1113.916, -0.0037
1166.827, -0.0037
1232.188, -0.0037
1257.471, -0.0037
1269.436, -0.0038
1324.980, -0.0037
1371.274, -0.0037
1395.741, -0.0037
1466.373, -0.0036
1533.454, -0.0035
1592.467, -0.0036
1647.289, -0.0035
1695.027, -0.0035
1748.583, -0.0035
1806.898, -0.0036
1849.312, -0.0036
1918.096, -0.0036
1947.204, -0.0035
1977.552, -0.0035
2025.468, -0.0037
2093.621, -0.0038
2142.614, -0.0038
2174.214, -0.0037
2186.726, -0.0037
2240.993, -0.0036
2282.419, -0.0036
2394.614, -0.0036
2530.631, -0.0036
2645.085, -0.0036
2757.474, -0.0037
2905.067, -0.0037
3008.115, -0.0037
3155.590, -0.0036
3285.592, -0.0035
3366.171, -0.0024
3507.685, 0.0013
3627.976, 0.0096
3741.534, 0.0185
3844.451, 0.0288
3998.161, 0.0501
4120.046, 0.0631
4275.673, 0.0771
4344.207, 0.1131
4484.546, 0.1339
4599.441, 0.1512
4713.005, 0.1822
4869.081, 0.1963
4977.040, 0.2096
5104.892, 0.2364
5231.371, 0.2512
5320.991, 0.2671
5462.140, 0.3003
5605.674, 0.3161
5728.008, 0.3394
5834.431, 0.3784
5972.521, 0.3861
6079.598, 0.3827
6201.313, 0.3763
6313.759, 0.3747
6443.430, 0.3738
6564.520, 0.3691
6676.507, 0.3661
6811.371, 0.3649
6922.707, 0.3619
7038.896, 0.3593
7181.154, 0.3565
7300.165, 0.3554
7417.409, 0.3523
7559.792, 0.3496
7677.762, 0.3471
7776.075, 0.3447
7882.853, 0.3429
8038.831, 0.3399
8156.923, 0.3366
8243.826, 0.3354
8414.444, 0.3334
8506.755, 0.3288
8646.935, 0.3275
8767.289, 0.3263
8872.290, 0.3215
8997.866, 0.3196
9116.315, 0.3182
9252.494, 0.3147
9379.067, 0.3123
9473.321, 0.3104
9608.681, 0.3079
9740.797, 0.3057
9836.647, 0.3033
10012.500, 0.3002
10098.132, 0.2989
10209.648, 0.2968
10355.859, 0.2927
10439.378, 0.2915
10597.060, 0.2901
10739.001, 0.2859
10833.128, 0.2840
10940.930, 0.2827
11112.098, 0.2794
11218.084, 0.2773
11319.407, 0.2754
11431.870, 0.2724
11567.964, 0.2707
11706.132, 0.2686
11809.307, 0.2651
11912.835, 0.2637
12065.153, 0.2621
12170.399, 0.2584
12297.386, 0.2568
12443.441, 0.2553
12521.043, 0.2538
12661.422, 0.2502
12755.430, 0.2485
12919.664, 0.2470
13027.030, 0.2440
13134.193, 0.2422
13301.097, 0.2405
13381.548, 0.2375
13504.663, 0.2359
13663.597, 0.2343
13786.610, 0.2311
13904.287, 0.2296
14016.655, 0.2280
14143.600, 0.2247
14251.857, 0.2230
14370.337, 0.2215
14512.159, 0.2185
14641.025, 0.2169
14720.761, 0.2152
14854.246, 0.2122
14967.635, 0.2108
15113.106, 0.2093
15234.240, 0.2062
15347.106, 0.2047
15495.870, 0.2032
15605.249, 0.2002
15714.216, 0.1986
15825.068, 0.1972
15962.289, 0.1944
16076.456, 0.1929
16218.596, 0.1914
