ms, kg
348.055, -0.0022
405.022, -0.0023
461.504, -0.0022
520.347, -0.0022
569.516, -0.0022
637.992, -0.0022
686.174, -0.0022
715.447, -0.0022
762.793, -0.0023
822.025, -0.0023
881.393, -0.0023
904.984, -0.0023
972.120, -0.0023
995.718, -0.0023
1049.538, -0.0023
1090.541, -0.0023
1152.244, -0.0023
1202.645, -0.0023
1240.392, -0.0023
1295.661, -0.0023
1357.529, -0.0023
1430.038, -0.0022
1483.392, -0.0023
1562.344, -0.0023
1636.654, -0.0023
1674.178, -0.0024
1698.529, -0.0024
1729.375, -0.0024
1784.025, -0.0025
1837.659, -0.0025
1879.469, -0.0025
1910.083, -0.0025
1954.315, -0.0025
1992.137, -0.0025
2048.890, -0.0025
2104.179, -0.0026
2141.599, -0.0025
2190.054, -0.0024
2238.356, -0.0023
2250.991, -0.0023
2288.705, -0.0022
2332.714, -0.0022
2362.617, -0.0022
2418.227, -0.0022
2482.536, -0.0022
2500.315, -0.0023
2555.050, -0.0024
2592.451, -0.0023
2636.490, -0.0023
2697.576, -0.0023
2759.960, -0.0023
2813.868, -0.0023
2863.260, -0.0023
2942.935, -0.0023
2980.724, -0.0023
2993.306, -0.0023
3018.322, -0.0023
3037.098, -0.0023
3099.265, -0.0023
3143.395, -0.0023
3193.864, -0.0023
3218.645, -0.0023
3230.283, -0.0023
3296.819, -0.0023
3357.680, -0.0024
3395.418, -0.0024
3408.074, -0.0024
3458.229, -0.0023
3476.717, -0.0023
3505.601, -0.0023
3541.941, -0.0023
3610.669, -0.0023
3666.201, -0.0023
3710.296, -0.0023
3771.767, -0.0019
3820.790, 0.0033
3850.411, 0.0117
3892.327, 0.0223
3942.375, 0.0280
4003.380, 0.0353
4034.896, 0.0516
4118.607, 0.0594
4192.091, 0.0679
4215.368, 0.0885
4227.193, 0.0983
4277.121, 0.1083
4365.249, 0.1283
4483.522, 0.1395
4583.206, 0.1493
4729.169, 0.1605
4849.977, 0.1844
4982.236, 0.1960
5104.505, 0.2063
5208.856, 0.2266
5348.854, 0.2367
5459.343, 0.2478
5571.310, 0.2686
5687.963, 0.2808
5833.626, 0.2947
5991.693, 0.3191
6063.015, 0.3336
6190.720, 0.3478
6309.082, 0.3689
6447.107, 0.3726
6581.268, 0.3657
6699.492, 0.3613
6845.589, 0.3611
6917.901, 0.3599
7076.649, 0.3531
7163.730, 0.3520
7310.098, 0.3520
7417.734, 0.3469
7530.171, 0.3442
7687.990, 0.3428
7804.022, 0.3406
7949.603, 0.3376
8053.037, 0.3349
8153.358, 0.3332
8255.483, 0.3311
8391.274, 0.3284
8547.319, 0.3247
8654.732, 0.3239
8747.351, 0.3217
8892.547, 0.3167
9023.034, 0.3156
9135.524, 0.3145
9244.664, 0.3099
9403.897, 0.3077
9503.791, 0.3067
9636.693, 0.3035
9725.600, 0.3011
9853.813, 0.2990
9981.085, 0.2978
10093.107, 0.2944
10228.212, 0.2920
10382.652, 0.2901
10485.479, 0.2875
10595.376, 0.2856
10701.969, 0.2833
10862.906, 0.2799
10995.979, 0.2786
11070.544, 0.2768
11230.115, 0.2725
11323.541, 0.2714
11460.477, 0.2701
11567.162, 0.2663
11686.900, 0.2645
11849.504, 0.2632
11959.119, 0.2601
12052.695, 0.2583
12201.406, 0.2564
12307.355, 0.2536
12450.173, 0.2520
12563.103, 0.2502
12692.131, 0.2467
12782.671, 0.2454
12919.162, 0.2437
13044.716, 0.2403
13160.163, 0.2387
13280.484, 0.2371
13415.988, 0.2340
13528.452, 0.2324
13651.148, 0.2307
13753.354, 0.2278
13902.977, 0.2262
14017.702, 0.2246
14165.311, 0.2215
14246.803, 0.2200
14376.323, 0.2184
14516.045, 0.2153
14628.644, 0.2137
14738.446, 0.2122
14853.916, 0.2108
14982.243, 0.2077
15111.781, 0.2061
15267.664, 0.2046
15381.265, 0.2017
15512.429, 0.2002
15606.745, 0.1986
15719.220, 0.1956
15837.432, 0.1941
15949.681, 0.1927
16095.847, 0.1898
16202.808, 0.1882
16345.820, 0.1868
16482.118, 0.1840
16556.551, 0.1826
16711.410, 0.1811
16816.653, 0.1782
16960.033, 0.1768
17094.840, 0.1754
17178.069, 0.1727
17305.089, 0.1712
