ms, kg
266.074, -0.0008
313.304, -0.0008
362.179, -0.0007
409.957, -0.0007
451.452, -0.0007
494.728, -0.0007
548.030, -0.0007
585.553, -0.0008
603.630, -0.0007
650.657, -0.0007
727.501, -0.0008
781.177, -0.0008
812.026, -0.0007
886.150, -0.0007
976.187, -0.0007
1005.765, -0.0007
1047.375, -0.0007
1085.225, -0.0007
1138.084, -0.0007
1168.166, -0.0008
1191.368, -0.0007
1262.432, -0.0007
1315.767, -0.0008
1390.217, -0.0007
1437.570, -0.0007
1462.554, -0.0007
1524.552, -0.0007
1566.092, -0.0007
1614.924, -0.0007
1664.595, -0.0008
1701.704, -0.0008
1719.778, -0.0008
1749.328, -0.0008
1804.662, -0.0008
1822.950, -0.0008
1841.820, -0.0008
1890.022, -0.0008
1919.252, -0.0008
1961.117, -0.0008
1996.372, -0.0008
2002.210, -0.0008
2045.707, -0.0009
2057.555, -0.0008
2087.651, -0.0008
2123.140, -0.0007
2140.860, -0.0006
2181.947, -0.0006
2229.349, -0.0007
2272.412, -0.0007
2314.658, -0.0007
2389.290, -0.0008
2420.713, -0.0008
2438.572, -0.0009
2462.178, -0.0009
2515.855, -0.0010
2564.494, -0.0010
2606.277, -0.0010
2641.823, -0.0012
2665.450, -0.0017
2706.699, -0.0033
2754.124, -0.0027
2802.263, -0.0004
2851.113, -0.0021
2905.739, -0.0007
2942.151, -0.0008
2961.148, -0.0011
2979.155, -0.0013
3079.607, -0.0006
3204.292, -0.0012
3333.001, -0.0017
3422.366, -0.0021
3600.358, -0.0031
3678.686, -0.0036
3819.164, -0.0038
3928.962, -0.0041
4043.236, -0.0029
4206.637, -0.0030
4304.108, -0.0032
4404.146, -0.0040
4557.540, -0.0046
4671.997, -0.0047
4792.568, -0.0042
4925.127, -0.0043
5025.174, -0.0039
5154.171, -0.0042
5282.758, -0.0043
5373.489, 0.0002
5513.602, 0.0099
5655.715, 0.0208
5748.518, 0.0321
5894.390, 0.0507
6000.907, 0.0610
6116.803, 0.0731
6239.413, 0.0991
6357.787, 0.1142
6503.866, 0.1279
6596.229, 0.1570
6741.993, 0.1710
6861.449, 0.1830
6982.163, 0.2044
7098.270, 0.2154
7222.544, 0.2298
7361.150, 0.2628
7486.994, 0.2757
7579.271, 0.2842
7704.720, 0.2841
7850.190, 0.2794
7943.783, 0.2769
8087.538, 0.2749
8199.077, 0.2739
8357.736, 0.2711
8450.318, 0.2686
8568.602, 0.2674
8679.402, 0.2658
8826.997, 0.2602
8956.625, 0.2584
9053.061, 0.2567
9233.662, 0.2551
9299.370, 0.2549
9410.127, 0.2541
9549.498, 0.2533
9662.385, 0.2505
9808.442, 0.2488
9898.209, 0.2459
10042.643, 0.2443
10143.669, 0.2429
10259.171, 0.2388
10422.870, 0.2371
10509.798, 0.2365
10681.342, 0.2345
10742.528, 0.2307
10874.341, 0.2294
11032.488, 0.2281
11150.839, 0.2249
11260.773, 0.2231
11357.752, 0.2216
11481.823, 0.2189
11617.167, 0.2174
11726.196, 0.2156
11856.297, 0.2127
12004.549, 0.2114
12144.111, 0.2099
12217.105, 0.2067
12345.382, 0.2052
12497.081, 0.2039
12576.111, 0.2011
12724.716, 0.1995
12856.388, 0.1979
12972.486, 0.1952
13084.226, 0.1938
13208.356, 0.1923
13354.381, 0.1893
13460.655, 0.1879
13574.951, 0.1866
13669.422, 0.1837
13810.175, 0.1823
13939.151, 0.1808
14049.626, 0.1782
14165.954, 0.1767
14319.412, 0.1753
14407.906, 0.1726
14535.998, 0.1712
14654.383, 0.1699
14806.047, 0.1672
14938.323, 0.1658
15032.708, 0.1645
15154.901, 0.1619
15271.304, 0.1606
15394.300, 0.1593
15530.865, 0.1579
15665.825, 0.1552
15762.556, 0.1539
15904.623, 0.1526
16015.099, 0.1499
16125.431, 0.1486
16266.420, 0.1473
16379.169, 0.1446
16501.035, 0.1432
16605.438, 0.1419
16738.926, 0.1392
16888.343, 0.1379
17010.813, 0.1366
17119.539, 0.1340
17207.980, 0.1327
17388.756, 0.1314
17472.160, 0.1289
17621.050, 0.1276
17717.603, 0.1264
17863.921, 0.1239
17944.269, 0.1227
18093.295, 0.1214
18206.024, 0.1189
18313.371, 0.1177
18443.452, 0.1165
18577.174, 0.1140
18683.629, 0.1129
18819.967, 0.1117
18967.093, 0.1094
19038.215, 0.1082
19194.496, 0.1070
19320.296, 0.1048
19424.843, 0.1036
19564.717, 0.1025
19660.376, 0.1003
19808.520, 0.0993
19917.953, 0.0982
20067.134, 0.0961
20144.974, 0.0951
20275.399, 0.0940
20433.643, 0.0930
20527.990, 0.0909
20662.691, 0.0899
20772.130, 0.0889
20905.156, 0.0870
21010.943, 0.0860
21124.064, 0.0851
21264.646, 0.0831
21397.874, 0.0821
21492.157, 0.0812
21632.320, 0.0793
21719.184, 0.0784
21873.112, 0.0774
22026.707, 0.0755
22103.688, 0.0745
22231.835, 0.0737
22348.198, 0.0719
22478.470, 0.0710
22630.830, 0.0701
22695.305, 0.0683
22847.885, 0.0674
22989.027, 0.0666
23108.620, 0.0649
23237.576, 0.0640
23350.064, 0.0632
23476.213, 0.0616
23606.477, 0.0607
23689.702, 0.0599
23829.409, 0.0582
23957.623, 0.0574
24079.335, 0.0566
24174.530, 0.0549
24335.540, 0.0541
24428.951, 0.0533
24566.771, 0.0518
24661.852, 0.0510
24836.642, 0.0503
24929.382, 0.0488
25057.593, 0.0481
25185.691, 0.0474
25280.240, 0.0467
25418.039, 0.0453
25548.340, 0.0446
25639.072, 0.0439
25777.668, 0.0425
25905.932, 0.0419
26017.927, 0.0412
26134.134, 0.0399
26288.721, 0.0392
26370.193, 0.0386
26508.945, 0.0374
26616.642, 0.0368
26741.729, 0.0361
26883.669, 0.0349
27002.192, 0.0343
27112.037, 0.0337
27228.522, 0.0325
27346.911, 0.0320
27494.086, 0.0315
27628.876, 0.0304
27749.173, 0.0299
27847.657, 0.0294
27984.064, 0.0284
28107.430, 0.0279
28206.457, 0.0275
28346.366, 0.0267
28449.021, 0.0263
28581.034, 0.0259
28707.113, 0.0252
28813.581, 0.0248
28938.698, 0.0245
29079.227, 0.0239
29185.422, 0.0237
29312.069, 0.0234
29426.835, 0.0229
29556.347, 0.0227
29661.330, 0.0225
29814.969, 0.0220
29921.059, 0.0218
30066.566, 0.0216
30185.914, 0.0212
30302.791, 0.0210
30421.945, 0.0208
30564.188, 0.0206
30654.170, 0.0203
30762.924, 0.0201
30910.835, 0.0200
31032.902, 0.0197
31131.236, 0.0195
31283.383, 0.0194
31397.515, 0.0191
31492.934, 0.0190
31614.249, 0.0188
31726.790, 0.0185
31900.082, 0.0184
32001.934, 0.0182
32130.803, 0.0180
32237.151, 0.0178
32377.690, 0.0177
32501.902, 0.0176
32610.734, 0.0175
32739.652, 0.0174
32864.525, 0.0172
32979.882, 0.0171
33095.075, 0.0169
33224.768, 0.0168
33331.402, 0.0167
33452.830, 0.0166
33593.000, 0.0164
33722.808, 0.0163
33854.867, 0.0163
33975.012, 0.0160
34043.983, 0.0160
34170.201, 0.0160
34306.146, 0.0158
34423.790, 0.0157
34575.648, 0.0156
34664.965, 0.0155
34811.861, 0.0154
34926.471, 0.0154
35060.506, 0.0152
35170.947, 0.0152
35305.039, 0.0151
35512.287, 0.0150
35554.804, 0.0149
35648.514, 0.0148
35789.083, 0.0147
35896.385, 0.0147
36066.101, 0.0146
36155.454, 0.0146
36261.636, 0.0146
36385.242, 0.0146
36538.349, 0.0146
36677.019, 0.0146
36757.726, 0.0145
36889.953, 0.0145
36980.765, 0.0145
37114.243, 0.0146
37283.808, 0.0146
37360.725, 0.0146
37525.198, 0.0146
37609.193, 0.0146
37772.889, 0.0145
37857.690, 0.0146
37982.966, 0.0146
38121.333, 0.0145
38214.054, 0.0146
38337.950, 0.0146
38466.250, 0.0145
38600.404, 0.0145
38712.222, 0.0145
38813.185, 0.0145
38952.451, 0.0145
39087.018, 0.0145
39199.159, 0.0144
39349.795, 0.0144
39453.505, 0.0145
39591.543, 0.0145
39689.844, 0.0145
39838.849, 0.0144
39923.131, 0.0145
40057.880, 0.0145
40176.113, 0.0145
40322.632, 0.0145
40407.058, 0.0144
40567.311, 0.0145
40685.024, 0.0145
40799.750, 0.0144
40921.602, 0.0145
41020.161, 0.0144
41165.810, 0.0144
41292.027, 0.0144
41379.154, 0.0144
41507.766, 0.0144
41625.257, 0.0144
41759.580, 0.0144
41916.409, 0.0144
42015.693, 0.0145
42133.893, 0.0145
42268.282, 0.0144
42362.255, 0.0144
42524.086, 0.0144
42622.614, 0.0145
42747.976, 0.0145
42863.298, 0.0144
42999.153, 0.0144
